# Lesson notes — 23 Aug 2026
# nl<TAB>en<TAB>pos (pos optional; blank = auto-detect)
de gelegenheid	occasion	noun
meedoen	to participate	verb
de krans	wreath (crown-like thing)	noun
de bloemenkrans	flower wreath	noun
de meiboom	maypole	noun
knapperig	crispy	other
plaatselijk	local	other
gepekeld	pickled (brined)	other
terecht kunnen bij	can go to / can turn to	phrase
met z'n twintigen	with about twenty people	phrase
allerleukste	very nicest / absolute favourite	other
de voormalige overheid	the former government	phrase
stelen	to steal	verb
vergelijkbaar	similar / comparable	other
klagen over	to complain about	verb
de kakker	posh person / snob	noun
aan de beurt zijn	to be somebody's turn	phrase
het college	lecture	noun
